ElectionAbbr	PollingSiteID	PollingSiteName	TableID	PollingPlaceDesc1	PollingPlaceDesc2	SamBalAddr1	SamBalAddr2	VotingPctID	VotingPctName	PollPlaceRegPctID	PollPlaceRegPctPortion	BallotTypeList
2022NOVGEN	3807	9438 - 3004 Taraval St		Far Out Gallery	3004 Taraval St	Btw 40th & 41st Aves	2.8% Slope	9438   	Pct 9438	9438   		24  
2022NOVGEN	3809	9713 - 1736 9th Ave		Garage	1736 9th Ave	Btw Moraga & Noriega	5.5% Slope	9713   	Pct 9713	9713   		27  
2022NOVGEN	3810	9405 - 2548 Judah St		B Cooperative Design	2548 Judah St	Btw 30th & 31st Aves	7.9% slope	9405   	Pct 9405	9405   		24  
2022NOVGEN	3813	9714 - 590 Oak Park Dr		Garage	590 Oak Park Dr	Cul de Sac off Devonshire	6.4% Slope	9714   	Pct 9714	9714   		28  
2022NOVGEN	3814	9132 - 590 5th Ave		Garage	590 5th Ave	Btw Balboa & Anza	1.0% Slope	9132   	Pct 9132	9132   		19  
2022NOVGEN	3815	7836 - 286 Fair Oaks St		Garage	286 Fair Oaks St	Btw 23rd & 24th Sts	3% Slope	7836   	Pct 7836	7836   		16  
2022NOVGEN	3816	9804 - 954 Stanyan St		Garage	954 Stanyan St	Btw Carl & Frederick	1.8% slope	9804   	Pct 9804	9804   		30  
2022NOVGEN	3818	7023 - 1722 Quesada Ave		Garage	1722 Quesada Ave	Btw 3rd & Newhall	1.3% Slope	7023   	Pct 7023	7023   		4  
2022NOVGEN	3819	7019 - 825 Newhall St		St John Baptist Church - Dining Hall	825 Newhall St	Btw Jerrold & Innes	0.1% Slope	7019   	Pct 7019	7019   		4  
2022NOVGEN	3820	7943 - 224 Hale St		Garage	224 Hale St	Btw Merrill & Boylston	3.0% Slope	7943   	Pct 7943	7943   		18  
2022NOVGEN	3823	9412 - 2935 Judah St		Garage	2935 Judah St	Btw 34th & 35th Aves	7.1% Slope	9412   	Pct 9412	9412   		24  
2022NOVGEN	3824	9407 - 1239 19th Ave		Garage	1239 19th Ave	Btw Irving & Lincoln	0.7% Slope	9407   	Pct 9407	9407   		24  
2022NOVGEN	3825	7333 - 750 Post St		Goodwill Career Center	750 Post St	Btw Leavenworth & Jones	6.3% Slope	7333   	Pct 7333	7333   		8  
2022NOVGEN	3827	7925 - 45 29th St		Garage	45 29th St	Btw Mission & Tiffany	2.3% Slope	7925   	Pct 7925	7925   		17  
2022NOVGEN	3829	9133 - 800 Great Hwy		M K Think	800 Great Hwy	Enter Off Plaza At Cabrillo & Great Hwy	5.5% Slope	9133   	Pct 9133	9133   		19  
2022NOVGEN	3830	7822 - 515 Noe St		Garage	515 Noe St	Btw 18th St & Hancock	2.7% Slope	7822   	Pct 7822	7822   		16  
2022NOVGEN	3836	1117 - 172 Louisburg St		Garage	172 Louisburg St	Btw Geneva & Niagara	5.3% Slope	1117   	Pct 1117	1117   		2  
2022NOVGEN	3837	1123 - 5050 Mission St		Self Help For The Elderly - Geneva Community Center	5050 C Mission St	Btw Seneca & Amazon	0.5% Slope	1123   	Pct 1123	1123   		2  
2022NOVGEN	3838	1135 - 390 Harvard St		Garage	390 Harvard St	Enter On Harvard At Burrows	2.5% Slope	1135   	Pct 1135	1135   		3  
2022NOVGEN	3839	1136 - 342 London St		Garage	342 London St	Btw Persia & Brazil	3.1% slope	1136   	Pct 1136	1136   		3  
2022NOVGEN	3842	7003 - 693 Vermont St		Downtown High School - Cafeteria	693 Vermont St	Btw 18th & 19th St	6.0% Slope	7003   	Pct 7003	7003   		4  
2022NOVGEN	3844	7011 - 1207 San Bruno Ave		Garage	1207 San Bruno Ave	Btw 23rd & 24th Sts	5.9% Slope	7011   	Pct 7011	7011   		4  
2022NOVGEN	3845	7012 - 798 Wisconsin St (loc 7007)		Firehouse #37	798 Wisconsin St	Btw 20th & 22nd Sts	7.4% Slope	7012   	Pct 7012	7012   		4  
2022NOVGEN	3847	7018 - 1733 Oakdale Ave		Garage	1733 Oakdale Ave	Btw Newhall & Phelps	1.7% Slope	7018   	Pct 7018	7018   		4  
2022NOVGEN	3848	7022 - 126 Bridgeview Dr		Garage	126 Bridgeview Dr	Btw Topeka & Newhall	3.4% Slope	7022   	Pct 7022	7022   		4  
2022NOVGEN	3849	7025 - 11 Carpenter Ct		Garage	11 Carpenter Ct	Enter On Carpenter At Whitney Young Cir	5.7% Slope	7025   	Pct 7025	7025   		4  
2022NOVGEN	3851	7032 - 1435 Shafter Ave		Garage	1435 Shafter Ave	Btw Jennings & Keith	2.3% Slope	7032   	Pct 7032	7032   		4  
2022NOVGEN	3854	7054 - 840 Jamestown Ave		Garage	840 Jamestown Ave	Btw Griffith & Hawes	5.0% Slope	7054   	Pct 7054	7054   		4  
2022NOVGEN	3855	7205 - 900 Baker St (loc 9236)		St John Serbian Orthodox Cathedral - Conference Rm	900 Baker St	Enter At Corner Of Baker & Turk	8.1% Slope - Ramped Access	7205   	Pct 7205	7205   		6  
2022NOVGEN	3860	7601 - 27a Van Ness Ave		San Francisco Real Estate Division	27 A Van Ness Ave	Btw Hickory & Oak	2% Slope	7601   	Pct 7601	7601   		12  
2022NOVGEN	3861	7604 - 49 S Van Ness Ave		S F Department Of Public Works - Forum Gallery	49 S Van Ness Ave	Btw Market & Mission	4.3% Slope	7604   	Pct 7604	7604   		12  
2022NOVGEN	3863	7611 - 345 7th St (loc 7616)		St Michael Ukrainian Orthodox Church - Main Hallway	345 7th St	Enter On Cleveland Btw 7th St & Sherman	3.7% Slope	7611   	Pct 7611	7611   		12  
2022NOVGEN	3867	7626 - 133 Shipley St		Salvation Army Silvercrest Residence - Lobby	133 Shipley St	Btw 4th & 5th Sts	5.0% Slope	7626   	Pct 7626	7626   		12  
2022NOVGEN	3869	7633 - 200 Brannan St		A F I Real Estate - Lobby	200 Brannan St, Suite 100	Corner Of Brannan & Delancey	1.8% Slope	7633   	Pct 7633	7633   		12  
2022NOVGEN	3872	7929 - 348 Precita Ave		Precita Eyes Studio	348 Precita Ave	Btw Treat & Folsom	8.3% Slope	7929   	Pct 7929	7929   		17  
2022NOVGEN	3874	9119 - 527 47th Ave		Garage	527 47th Ave	Btw Geary Blvd & Anza St	1.0% Slope	9119   	Pct 9119	9119   		19  
2022NOVGEN	3875	9127 - 482 16th Ave		Garage	482 16th Ave	Btw Anza & Geary	8.1% Slope	9127   	Pct 9127	9127   		19  
2022NOVGEN	3876	9204 - 49 Casa Way		Garage	49 Casa Way	Btw Marina Blvd & Retiro Way	2.3% Slope	9204   	Pct 9204	9204   		21  
2022NOVGEN	3877	9223 - 2021 Pacific Ave		Garage	2021 Pacific Ave	Btw Laguna & Octavia	4.7% Slope	9223   	Pct 9223	9223   		21  
2022NOVGEN	3878	9226 - 3565 Washington St		Garage	3565 Washington St	Btw Locust & Laurel	4.8% Slope	9226   	Pct 9226	9226   		21  
2022NOVGEN	3883	9417 - 1679 37th Ave		Garage	1679 37th Ave	Btw Moraga & Lawton	7.5% Slope - Curb Ramp Access	9417   	Pct 9417	9417   		24  
2022NOVGEN	3884	9422 - 1778 23rd Ave		Garage	1778 23rd Ave	Btw Moraga & Noriega	4.9% Slope	9422   	Pct 9422	9422   		24  
2022NOVGEN	3885	9429 - 2143 42nd Ave		Garage	2143 42nd Ave	Btw Quintata & Rivera	4.8% Slope	9429   	Pct 9429	9429   		24  
2022NOVGEN	3886	9431 - 2186 36th Ave		Garage	2186 36th Ave	Btw Rivera & Ortega	7.3% Slope -  Curb Ramp Access	9431   	Pct 9431	9431   		24  
2022NOVGEN	3887	9434 - 2111 21st Ave		Garage	2111 21st Ave	Btw Quintara & Rivera Sts	1.9% Slope	9434   	Pct 9434	9434   		24  
2022NOVGEN	3888	9437 - 2458 41st Ave		Garage	2458 41st Ave	Btw Taraval & Ulloa	7.7% Slope - Curb Ramp Access	9437   	Pct 9437	9437   		24  
2022NOVGEN	3891	9506 - 1250 Haight St		Buena Vista Terrace - Community Room	1250 Haight St	Btw Central & Lyon	0.3% Slope	9506   	Pct 9506	9506   		25  
2022NOVGEN	3894	9718 - 2489 16th Ave		Garage	2489 16th Ave	Btw Taraval & Ulloa	3.6% Slope	9718   	Pct 9718	9718   		27  
